feature,coefficient,abs_coefficient
bool__volume_mismatch_flag,-0.9833211932213032,0.9833211932213032
num__log_monthly_volume,-0.7603116674515128,0.7603116674515128
cat__registration_type_oc,0.7333174721337145,0.7333174721337145
cat__merchant_sector_beauty_wellness,0.7122948722814828,0.7122948722814828
cat__merchant_sector_software_tech,-0.702728361248473,0.702728361248473
cat__merchant_sector_food_restaurants,0.662489990026014,0.662489990026014
cat__merchant_sector_education_media,-0.526228409575454,0.526228409575454
cat__merchant_sector_finance_professional,-0.5252459507941096,0.5252459507941096
num__api_volume_to_monthly_volume_ratio,-0.4977440860376191,0.4977440860376191
num__csv_implied_avg_ticket,-0.4851270657591695,0.4851270657591695
num__review_age_days,0.4672994965443832,0.4672994965443832
cat__volume_band_small,0.4426992684222053,0.4426992684222053
cat__subregion_Western Europe,0.3891627899619857,0.3891627899619857
cat__merchant_sector_other,0.3861209109072346,0.3861209109072346
num__api_txn_to_csv_txn_ratio,-0.3789562264384978,0.3789562264384978
cat__merchant_sector_travel_hospitality,-0.3391295931921711,0.3391295931921711
cat__subregion_Southeast Europe,-0.32920490450838896,0.32920490450838896
cat__volume_band_mid,-0.32762160782890554,0.32762160782890554
cat__merchant_sector_energy_auto,0.3242201670255144,0.3242201670255144
cat__registration_type_ni,-0.3224999504825315,0.3224999504825315
num__avg_ticket_gap_ratio,0.2840758828946551,0.2840758828946551
cat__registration_type_numeric,-0.28069629732664686,0.28069629732664686
cat__region_Americas,0.26064966624863617,0.26064966624863617
cat__subregion_North America,0.26064966624863617,0.26064966624863617
cat__region_Europe,-0.26056392133406797,0.26056392133406797
cat__merchant_sector_healthcare_care,0.2134514661040368,0.2134514661040368
cat__merchant_sector_home_services,-0.2051593466195068,0.2051593466195068
cat__registration_type_sc,-0.19766421449091348,0.19766421449091348
cat__subregion_Central Europe,-0.19652041243505913,0.19652041243505913
cat__registration_type_none,0.16138021934609467,0.16138021934609467
bool__is_uk,-0.16129447443152642,0.16129447443152642
bool__has_registration_number,-0.16129447443152642,0.16129447443152642
cat__volume_band_large,-0.13850249572224452,0.13850249572224452
num__log_last_30d_txn_count,-0.12005504385251721,0.12005504385251721
bool__avg_ticket_mismatch_flag,0.11180316126089836,0.11180316126089836
cat__registration_type_lp,-0.0937514842651488,0.0937514842651488
cat__subregion_Southern Europe,-0.07322871355997355,0.07322871355997355
num__log_last_30d_volume,-0.06035079137051203,0.06035079137051203
cat__subregion_Northern Europe,-0.050772680792632134,0.050772680792632134
num__avg_ticket_size,0.04259060286665675,0.04259060286665675
cat__volume_band_micro,0.023510580043512842,0.023510580043512842
num__risk_flag_x_review_stale,-0.020470268377501304,0.020470268377501304
num__risk_flag_encoded,-0.020470268377501304,0.020470268377501304
bool__review_is_stale,8.574491456817197e-05,8.574491456817197e-05
bool__missing_country_enrichment,0.0,0.0
